Age by year of birth and completed years of age,Legal marital status,Type of building,Census year,Territory,Data type,Gender,Age,0,Flags
"all items","total","all items","2011","Cuneo","population aged 65 and over (percentage values)","females","65 years and over",56.43,
"all items","total","all items","2011","Vercelli","resident population (percentage values)","total","until 5 years",4.71,
"all items","total","all items","2011","Fermo","resident population (absolute values)","females","until 4 years",3625,
"all items","total","all items","2011","Novara","population aged 65 and over (percentage values)","females","65 years and over",59.08,
"all items","total","all items","2011","Barletta-Andria-Trani","population aged 85 and over (percentage values)","females","85 years and over",64.83,
"all items","total","all items","2011","Vercelli","elder for child","total","total",5.33,
"all items","total","all items","2011","Verbano-Cusio-Ossola","resident population (percentage values)","total","85 years and over",3.27,
"all items","total","all items","2011","Fermo","resident population (percentage values)","total","85 years and over",3.62,
"all items","total","all items","2011","Prato","dependency ratio ","total","total",54.5,
"all items","total","all items","2011","Nord-ovest","dependency ratio ","total","total",55.86,
"all items","total","all items","2011","Biella","resident population (absolute values)","females","until 4 years",3345,
"all items","total","all items","2011","Fermo","population aged 65 and over (percentage values)","females","65 years and over",56.53,
"all items","total","all items","2011","Prato","resident population (percentage values)","total","75 years and over",10.41,
"all items","total","all items","2011","Fermo","resident population (percentage values)","total","until 4 years",4.33,
"all items","total","all items","2011","Monza e della Brianza","resident population (percentage values)","total","85 years and over",2.23,
"all items","total","all items","2011","Torino","elder for child","total","total",4.33,
"all items","total","all items","2011","Biella","elder for child","total","total",5.79,
"all items","total","all items","2011","Piemonte","elder for child","total","total",4.51,
"all items","total","all items","2011","Biella","resident population (percentage values)","total","until 4 years",3.71,
"all items","total","all items","2011","Verbano-Cusio-Ossola","resident population (percentage values)","total","until 4 years",3.88,
"all items","total","all items","2011","Italy","resident population (percentage values)","total","65 years and over",20.84,
"all items","total","all items","2011","Cuneo","population aged 75 and over (percentage values)","females","75 years and over",61.14,
"all items","total","all items","2011","Biella","resident population (percentage values)","total","75 years and over",13.47,
"all items","total","all items","2011","Torino","population aged 65 and over (percentage values)","females","65 years and over",57.26,
"all items","total","all items","2011","Torino","resident population (percentage values)","total","until 4 years",4.46,
"all items","total","all items","2011","Prato","sex ratio","total","total",93.16,
"all items","total","all items","2011","Cuneo","population aged 85 and over (percentage values)","females","85 years and over",70.44,
"all items","total","all items","2011","Italy","ageing index ","total","total",148.75,
"all items","total","all items","2011","Fermo","resident population (absolute values)","total","65 years and over",40705,
"all items","total","all items","2011","Fermo","dependency ratio ","total","total",56.99,
"all items","total","all items","2011","Nord-ovest","resident population (absolute values)","total","until 4 years",729818,
"all items","total","all items","2011","Novara","sex ratio","total","total",93.22,
"all items","total","all items","2011","Novara","resident population (absolute values)","total","65 years and over",79304,
"all items","total","all items","2011","Piemonte","population aged 75 and over (percentage values)","females","75 years and over",62.16,
"all items","total","all items","2011","Novara","dependency ratio ","total","total",54.1,
"all items","total","all items","2011","Torino","resident population (absolute values)","females","until 4 years",48496,
"all items","total","all items","2011","Nord-ovest","resident population (absolute values)","females","total",8144243,
"all items","total","all items","2011","Fermo","sex ratio","total","total",94.25,
"all items","total","all items","2011","Verbano-Cusio-Ossola","sex ratio","total","total",92.98,
"all items","total","all items","2011","Piemonte","resident population (percentage values)","total","85 years and over",3.18,
"all items","total","all items","2011","Italy","elder for child","total","total",3.75,
"all items","total","all items","2011","Novara","resident population (absolute values)","females","until 4 years",8243,
"all items","total","all items","2011","Nord-ovest","resident population (absolute values)","total","75 years and over",1725141,
"all items","total","all items","2011","Nord-ovest","resident population (percentage values)","total","until 5 years",5.55,
"all items","total","all items","2011","Biella","population aged 75 and over (percentage values)","females","75 years and over",64.65,
"all items","total","all items","2011","Nord-ovest","resident population (absolute values)","total","total",15765567,
"all items","total","all items","2011","Vercelli","resident population (percentage values)","total","65 years and over",25.09,
"all items","total","all items","2011","Italy","population aged 75 and over (percentage values)","females","75 years and over",61.88,
"all items","total","all items","2011","Vercelli","ageing index ","total","total",211.61,
"all items","total","all items","2011","Verbano-Cusio-Ossola","resident population (percentage values)","total","75 years and over",11.96,
"all items","total","all items","2011","Monza e della Brianza","resident population (percentage values)","total","65 years and over",19.95,
"all items","total","all items","2011","Monza e della Brianza","ageing index ","total","total",136.92,
"all items","total","all items","2011","Nord-ovest","population aged 75 and over (percentage values)","females","75 years and over",62.97,
"all items","total","all items","2011","Italy","resident population (absolute values)","females","total",30688237,
"all items","total","all items","2011","Cuneo","elder for child","total","total",4.01,
"all items","total","all items","2011","Monza e della Brianza","resident population (percentage values)","total","until 5 years",6,
"all items","total","all items","2011","Monza e della Brianza","resident population (absolute values)","total","75 years and over",77806,
"all items","total","all items","2011","Monza e della Brianza","resident population (absolute values)","females","total",430511,
"all items","total","all items","2011","Novara","population aged 85 and over (percentage values)","females","85 years and over",73.02,
"all items","total","all items","2011","Vercelli","resident population (percentage values)","total","until 4 years",3.92,
"all items","total","all items","2011","Biella","resident population (absolute values)","females","total",95371,
"all items","total","all items","2011","Piemonte","resident population (absolute values)","females","until 4 years",92018,
"all items","total","all items","2011","Fermo","resident population (absolute values)","total","75 years and over",21899,
"all items","total","all items","2011","Nord-ovest","resident population (percentage values)","total","65 years and over",22.23,
"all items","total","all items","2011","Monza e della Brianza","elder for child","total","total",3.32,
"all items","total","all items","2011","Vercelli","resident population (absolute values)","total","75 years and over",23709,
"all items","total","all items","2011","Vercelli","resident population (absolute values)","total","65 years and over",44397,
"all items","total","all items","2011","Torino","population aged 85 and over (percentage values)","females","85 years and over",70.64,
"all items","total","all items","2011","Barletta-Andria-Trani","resident population (percentage values)","total","85 years and over",1.89,
"all items","total","all items","2011","Nord-ovest","ageing index ","total","total",163.29,
"all items","total","all items","2011","Biella","resident population (absolute values)","total","65 years and over",47474,
"all items","total","all items","2011","Verbano-Cusio-Ossola","resident population (absolute values)","total","75 years and over",19164,
"all items","total","all items","2011","Monza e della Brianza","resident population (absolute values)","females","until 4 years",20420,
"all items","total","all items","2011","Monza e della Brianza","population aged 85 and over (percentage values)","females","85 years and over",72.51,
"all items","total","all items","2011","Vercelli","population aged 85 and over (percentage values)","females","85 years and over",71.01,
"all items","total","all items","2011","Vercelli","sex ratio","total","total",92.77,
"all items","total","all items","2011","Vercelli","population aged 65 and over (percentage values)","females","65 years and over",58.94,
"all items","total","all items","2011","Biella","dependency ratio ","total","total",60.86,
"all items","total","all items","2011","Barletta-Andria-Trani","resident population (percentage values)","total","75 years and over",7.6,
"all items","total","all items","2011","Prato","resident population (percentage values)","total","65 years and over",20.89,
"all items","total","all items","2011","Nord-ovest","sex ratio","total","total",93.58,
"all items","total","all items","2011","Verbano-Cusio-Ossola","elder for child","total","total",5.13,
"all items","total","all items","2011","Verbano-Cusio-Ossola","resident population (percentage values)","total","until 5 years",4.7,
"all items","total","all items","2011","Cuneo","dependency ratio ","total","total",56.99,
"all items","total","all items","2011","Italy","population aged 65 and over (percentage values)","females","65 years and over",57.57,
"all items","total","all items","2011","Fermo","resident population (percentage values)","total","until 5 years",5.19,
"all items","total","all items","2011","Verbano-Cusio-Ossola","population aged 75 and over (percentage values)","females","75 years and over",64.3,
"all items","total","all items","2011","Italy","resident population (absolute values)","females","until 4 years",1336103,
"all items","total","all items","2011","Fermo","population aged 75 and over (percentage values)","females","75 years and over",59.56,
"all items","total","all items","2011","Monza e della Brianza","resident population (percentage values)","total","75 years and over",9.26,
"all items","total","all items","2011","Fermo","elder for child","total","total",4.48,
"all items","total","all items","2011","Novara","elder for child","total","total",3.94,
"all items","total","all items","2011","Prato","elder for child","total","total",3.46,
"all items","total","all items","2011","Novara","resident population (percentage values)","total","until 4 years",4.59,
"all items","total","all items","2011","Piemonte","resident population (absolute values)","total","75 years and over",516542,
"all items","total","all items","2011","Torino","resident population (absolute values)","females","total",1166482,
"all items","total","all items","2011","Biella","resident population (absolute values)","total","75 years and over",24539,
"all items","total","all items","2011","Prato","resident population (absolute values)","total","until 4 years",9317,
"all items","total","all items","2011","Italy","resident population (absolute values)","total","until 5 years",3305571,
"all items","total","all items","2011","Italy","resident population (absolute values)","total","total",59433744,
"all items","total","all items","2011","Verbano-Cusio-Ossola","population aged 65 and over (percentage values)","females","65 years and over",58.65,
"all items","total","all items","2011","Torino","resident population (absolute values)","total","75 years and over",253402,
"all items","total","all items","2011","Biella","resident population (percentage values)","total","until 5 years",4.5,
"all items","total","all items","2011","Biella","population aged 65 and over (percentage values)","females","65 years and over",59.19,
"all items","total","all items","2011","Nord-ovest","elder for child","total","total",4,
"all items","total","all items","2011","Torino","resident population (percentage values)","total","until 5 years",5.35,
"all items","total","all items","2011","Italy","resident population (absolute values)","total","until 4 years",2749928,
"all items","total","all items","2011","Fermo","resident population (percentage values)","total","75 years and over",12.52,
"all items","total","all items","2011","Monza e della Brianza","resident population (absolute values)","total","until 5 years",50425,
"all items","total","all items","2011","Barletta-Andria-Trani","resident population (absolute values)","total","until 4 years",19527,
"all items","total","all items","2011","Torino","resident population (percentage values)","total","65 years and over",23.16,
"all items","total","all items","2011","Barletta-Andria-Trani","population aged 75 and over (percentage values)","females","75 years and over",59.02,
"all items","total","all items","2011","Piemonte","resident population (percentage values)","total","until 5 years",5.22,
"all items","total","all items","2011","Verbano-Cusio-Ossola","resident population (absolute values)","total","total",160264,
"all items","total","all items","2011","Prato","resident population (absolute values)","total","total",185456,
"all items","total","all items","2011","Barletta-Andria-Trani","sex ratio","total","total",97.47,
"all items","total","all items","2011","Verbano-Cusio-Ossola","population aged 85 and over (percentage values)","females","85 years and over",72.94,
"all items","total","all items","2011","Barletta-Andria-Trani","resident population (absolute values)","total","65 years and over",64336,
"all items","total","all items","2011","Fermo","population aged 85 and over (percentage values)","females","85 years and over",65.88,
"all items","total","all items","2011","Italy","resident population (absolute values)","total","75 years and over",6152413,
"all items","total","all items","2011","Prato","ageing index ","total","total",145.17,
"all items","total","all items","2011","Novara","resident population (percentage values)","total","85 years and over",3,
"all items","total","all items","2011","Piemonte","population aged 85 and over (percentage values)","females","85 years and over",70.95,
"all items","total","all items","2011","Torino","resident population (absolute values)","total","65 years and over",520631,
"all items","total","all items","2011","Torino","sex ratio","total","total",92.7,
"all items","total","all items","2011","Piemonte","dependency ratio ","total","total",57.44,
"all items","total","all items","2011","Piemonte","resident population (absolute values)","total","65 years and over",1028099,
"all items","total","all items","2011","Piemonte","ageing index ","total","total",182.26,
"all items","total","all items","2011","Novara","ageing index ","total","total",161.73,
"all items","total","all items","2011","Biella","resident population (absolute values)","total","total",182192,
"all items","total","all items","2011","Novara","resident population (percentage values)","total","65 years and over",21.69,
"all items","total","all items","2011","Nord-ovest","resident population (percentage values)","total","75 years and over",10.94,
"all items","total","all items","2011","Verbano-Cusio-Ossola","resident population (absolute values)","total","65 years and over",38654,
"all items","total","all items","2011","Fermo","resident population (percentage values)","total","65 years and over",23.28,
"all items","total","all items","2011","Torino","population aged 75 and over (percentage values)","females","75 years and over",61.65,
"all items","total","all items","2011","Verbano-Cusio-Ossola","dependency ratio ","total","total",56.93,
"all items","total","all items","2011","Monza e della Brianza","population aged 65 and over (percentage values)","females","65 years and over",57.36,
"all items","total","all items","2011","Biella","resident population (absolute values)","total","until 5 years",8199,
"all items","total","all items","2011","Verbano-Cusio-Ossola","resident population (absolute values)","total","until 4 years",6221,
"all items","total","all items","2011","Italy","sex ratio","total","total",93.67,
"all items","total","all items","2011","Barletta-Andria-Trani","resident population (absolute values)","females","total",198369,
"all items","total","all items","2011","Novara","resident population (percentage values)","total","75 years and over",11.07,
"all items","total","all items","2011","Italy","resident population (absolute values)","total","65 years and over",12384972,
"all items","total","all items","2011","Italy","dependency ratio ","total","total",53.49,
"all items","total","all items","2011","Novara","population aged 75 and over (percentage values)","females","75 years and over",63.82,
"all items","total","all items","2011","Nord-ovest","resident population (absolute values)","total","until 5 years",875775,
"all items","total","all items","2011","Vercelli","resident population (absolute values)","total","until 4 years",6936,
"all items","total","all items","2011","Monza e della Brianza","resident population (percentage values)","total","until 4 years",5,
"all items","total","all items","2011","Prato","population aged 65 and over (percentage values)","females","65 years and over",57.75,
"all items","total","all items","2011","Italy","resident population (percentage values)","total","until 5 years",5.56,
"all items","total","all items","2011","Prato","resident population (percentage values)","total","until 4 years",5.02,
"all items","total","all items","2011","Prato","resident population (absolute values)","total","65 years and over",38736,
"all items","total","all items","2011","Verbano-Cusio-Ossola","resident population (absolute values)","total","until 5 years",7530,
"all items","total","all items","2011","Piemonte","population aged 65 and over (percentage values)","females","65 years and over",57.61,
"all items","total","all items","2011","Italy","population aged 85 and over (percentage values)","females","85 years and over",69.64,
"all items","total","all items","2011","Italy","resident population (percentage values)","total","85 years and over",2.85,
"all items","total","all items","2011","Piemonte","resident population (percentage values)","total","65 years and over",23.56,
"all items","total","all items","2011","Biella","population aged 85 and over (percentage values)","females","85 years and over",73.33,
"all items","total","all items","2011","Novara","resident population (absolute values)","females","total",189198,
"all items","total","all items","2011","Fermo","resident population (absolute values)","total","until 5 years",9083,
"all items","total","all items","2011","Nord-ovest","resident population (percentage values)","total","85 years and over",2.95,
"all items","total","all items","2011","Monza e della Brianza","resident population (absolute values)","total","until 4 years",42027,
"all items","total","all items","2011","Vercelli","resident population (absolute values)","total","total",176941,
"all items","total","all items","2011","Vercelli","resident population (percentage values)","total","75 years and over",13.4,
"all items","total","all items","2011","Fermo","resident population (absolute values)","females","total",90017,
"all items","total","all items","2011","Torino","resident population (percentage values)","total","75 years and over",11.27,
"all items","total","all items","2011","Nord-ovest","population aged 65 and over (percentage values)","females","65 years and over",58.1,
"all items","total","all items","2011","Vercelli","population aged 75 and over (percentage values)","females","75 years and over",63.27,
"all items","total","all items","2011","Vercelli","dependency ratio ","total","total",58.6,
"all items","total","all items","2011","Prato","resident population (absolute values)","females","until 4 years",4466,
"all items","total","all items","2011","Vercelli","resident population (absolute values)","total","until 5 years",8336,
"all items","total","all items","2011","Piemonte","resident population (percentage values)","total","until 4 years",4.35,
"all items","total","all items","2011","Monza e della Brianza","resident population (absolute values)","total","total",840129,
"all items","total","all items","2011","Barletta-Andria-Trani","resident population (absolute values)","total","75 years and over",29759,
"all items","total","all items","2011","Vercelli","resident population (absolute values)","females","total",91791,
"all items","total","all items","2011","Barletta-Andria-Trani","resident population (absolute values)","total","until 5 years",23659,
"all items","total","all items","2011","Monza e della Brianza","population aged 75 and over (percentage values)","females","75 years and over",62.29,
"all items","total","all items","2011","Barletta-Andria-Trani","dependency ratio ","total","total",48.82,
"all items","total","all items","2011","Monza e della Brianza","dependency ratio ","total","total",52.74,
"all items","total","all items","2011","Italy","resident population (percentage values)","total","until 4 years",4.63,
"all items","total","all items","2011","Torino","dependency ratio ","total","total",56.97,
"all items","total","all items","2011","Prato","resident population (absolute values)","total","75 years and over",19315,
"all items","total","all items","2011","Biella","sex ratio","total","total",91.04,
"all items","total","all items","2011","Novara","resident population (absolute values)","total","total",365559,
"all items","total","all items","2011","Nord-ovest","resident population (absolute values)","females","until 4 years",354188,
"all items","total","all items","2011","Novara","resident population (absolute values)","total","until 4 years",16766,
"all items","total","all items","2011","Novara","resident population (absolute values)","total","until 5 years",20130,
"all items","total","all items","2011","Prato","resident population (absolute values)","females","total",96010,
"all items","total","all items","2011","Monza e della Brianza","resident population (absolute values)","total","65 years and over",167647,
"all items","total","all items","2011","Piemonte","resident population (percentage values)","total","75 years and over",11.84,
"all items","total","all items","2011","Fermo","resident population (absolute values)","total","total",174857,
"all items","total","all items","2011","Verbano-Cusio-Ossola","resident population (percentage values)","total","65 years and over",24.12,
"all items","total","all items","2011","Nord-ovest","population aged 85 and over (percentage values)","females","85 years and over",72.02,
"all items","total","all items","2011","Prato","population aged 75 and over (percentage values)","females","75 years and over",61.23,
"all items","total","all items","2011","Verbano-Cusio-Ossola","ageing index ","total","total",198.37,
"all items","total","all items","2011","Fermo","ageing index ","total","total",178.77,
"all items","total","all items","2011","Cuneo","ageing index ","total","total",161.6,
"all items","total","all items","2011","Torino","resident population (absolute values)","total","until 4 years",100252,
"all items","total","all items","2011","Piemonte","resident population (absolute values)","total","until 4 years",189779,
"all items","total","all items","2011","Nord-ovest","resident population (percentage values)","total","until 4 years",4.63,
"all items","total","all items","2011","Monza e della Brianza","sex ratio","total","total",95.15,
"all items","total","all items","2011","Barletta-Andria-Trani","resident population (percentage values)","total","65 years and over",16.42,
"all items","total","all items","2011","Barletta-Andria-Trani","resident population (absolute values)","total","total",391723,
"all items","total","all items","2011","Prato","resident population (percentage values)","total","until 5 years",6.04,
"all items","total","all items","2011","Barletta-Andria-Trani","ageing index ","total","total",100.27,
"all items","total","all items","2011","Piemonte","resident population (absolute values)","total","total",4363916,
"all items","total","all items","2011","Piemonte","sex ratio","total","total",93.19,
"all items","total","all items","2011","Biella","resident population (percentage values)","total","65 years and over",26.06,
"all items","total","all items","2011","Prato","population aged 85 and over (percentage values)","females","85 years and over",68.09,
"all items","total","all items","2011","Biella","ageing index ","total","total",221.25,
"all items","total","all items","2011","Torino","ageing index ","total","total",176.39,
"all items","total","all items","2011","Biella","resident population (absolute values)","total","until 4 years",6768,
"all items","total","all items","2011","Torino","resident population (absolute values)","total","total",2247780,
"all items","total","all items","2011","Fermo","resident population (absolute values)","total","until 4 years",7573,
"all items","total","all items","2011","Italy","resident population (percentage values)","total","75 years and over",10.35,
"all items","total","all items","2011","Piemonte","resident population (absolute values)","total","until 5 years",227803,
"all items","total","all items","2011","Novara","resident population (absolute values)","total","75 years and over",40452,
"all items","total","all items","2011","Prato","resident population (absolute values)","total","until 5 years",11196,
"all items","total","all items","2011","Torino","resident population (absolute values)","total","until 5 years",120185,
"all items","total","all items","2011","Prato","resident population (percentage values)","total","85 years and over",3.1,
"all items","total","all items","2011","Alessandria","resident population (absolute values)","total","75 years and over",59566,
"all items","total","all items","2011","Lombardia","population aged 85 and over (percentage values)","females","85 years and over",72.96,
"all items","total","all items","2011","Imperia","resident population (percentage values)","total","85 years and over",3.78,
"all items","total","all items","2011","Lecco","elder for child","total","total",3.48,
"all items","total","all items","2011","Alessandria","resident population (absolute values)","females","total",222246,
"all items","total","all items","2011","Savona","resident population (absolute values)","females","until 4 years",5059,
"all items","total","all items","2011","Lombardia","resident population (absolute values)","females","until 4 years",230376,
"all items","total","all items","2011","Como","dependency ratio ","total","total",52.95,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (percentage values)","total","85 years and over",2.89,
"all items","total","all items","2011","Liguria","resident population (absolute values)","females","until 4 years",28813,
"all items","total","all items","2011","Lombardia","population aged 65 and over (percentage values)","females","65 years and over",58.21,
"all items","total","all items","2011","Varese","ageing index ","total","total",152.39,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (percentage values)","total","85 years and over",2.89,
"all items","total","all items","2011","La Spezia","population aged 75 and over (percentage values)","females","75 years and over",63.12,
"all items","total","all items","2011","Liguria","elder for child","total","total",6.06,
"all items","total","all items","2011","Savona","resident population (percentage values)","total","until 5 years",4.49,
"all items","total","all items","2011","Lombardia","elder for child","total","total",3.54,
"all items","total","all items","2011","Liguria","resident population (percentage values)","total","85 years and over",4.21,
"all items","total","all items","2011","Imperia","resident population (absolute values)","females","until 4 years",3856,
"all items","total","all items","2011","Savona","resident population (percentage values)","total","until 4 years",3.73,
"all items","total","all items","2011","Lecco","population aged 85 and over (percentage values)","females","85 years and over",73.48,
"all items","total","all items","2011","Savona","population aged 65 and over (percentage values)","females","65 years and over",58.28,
"all items","total","all items","2011","Asti","resident population (percentage values)","total","75 years and over",13.05,
"all items","total","all items","2011","Genova","population aged 65 and over (percentage values)","females","65 years and over",59.14,
"all items","total","all items","2011","Lombardia","resident population (percentage values)","total","until 5 years",5.87,
"all items","total","all items","2011","Savona","elder for child","total","total",6.24,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","population aged 65 and over (percentage values)","females","65 years and over",57.6,
"all items","total","all items","2011","Liguria","resident population (percentage values)","total","until 5 years",4.53,
"all items","total","all items","2011","Asti","population aged 85 and over (percentage values)","females","85 years and over",69.47,
"all items","total","all items","2011","La Spezia","sex ratio","total","total",90.82,
"all items","total","all items","2011","Imperia","elder for child","total","total",5.93,
"all items","total","all items","2011","La Spezia","resident population (absolute values)","total","65 years and over",59094,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (absolute values)","females","total",64945,
"all items","total","all items","2011","Varese","resident population (absolute values)","total","75 years and over",88783,
"all items","total","all items","2011","Alessandria","elder for child","total","total",5.8,
"all items","total","all items","2011","Asti","dependency ratio ","total","total",59.22,
"all items","total","all items","2011","Imperia","resident population (percentage values)","total","until 4 years",3.73,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (absolute values)","females","total",64945,
"all items","total","all items","2011","Varese","resident population (absolute values)","total","until 4 years",41710,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","elder for child","total","total",3.67,
"all items","total","all items","2011","Asti","resident population (absolute values)","total","65 years and over",52995,
"all items","total","all items","2011","Savona","population aged 85 and over (percentage values)","females","85 years and over",69.9,
"all items","total","all items","2011","La Spezia","resident population (percentage values)","total","75 years and over",14.34,
"all items","total","all items","2011","Asti","sex ratio","total","total",93.91,
"all items","total","all items","2011","Imperia","population aged 65 and over (percentage values)","females","65 years and over",58.13,
"all items","total","all items","2011","Liguria","resident population (absolute values)","total","75 years and over",225762,
"all items","total","all items","2011","Liguria","population aged 75 and over (percentage values)","females","75 years and over",62.83,
"all items","total","all items","2011","La Spezia","dependency ratio ","total","total",62.24,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","population aged 65 and over (percentage values)","females","65 years and over",57.6,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (absolute values)","females","until 4 years",2981,
"all items","total","all items","2011","Varese","resident population (percentage values)","total","65 years and over",21.31,
"all items","total","all items","2011","Como","resident population (absolute values)","total","65 years and over",119734,
"all items","total","all items","2011","Alessandria","resident population (percentage values)","total","until 5 years",4.56,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (percentage values)","total","until 4 years",4.82,
"all items","total","all items","2011","Varese","resident population (absolute values)","females","total",449134,
"all items","total","all items","2011","Savona","population aged 75 and over (percentage values)","females","75 years and over",61.94,
"all items","total","all items","2011","Asti","resident population (absolute values)","females","until 4 years",4397,
"all items","total","all items","2011","Alessandria","population aged 85 and over (percentage values)","females","85 years and over",70.5,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (percentage values)","total","75 years and over",10.51,
"all items","total","all items","2011","Genova","resident population (absolute values)","total","65 years and over",235976,
"all items","total","all items","2011","Lecco","dependency ratio ","total","total",53.86,
"all items","total","all items","2011","Asti","population aged 65 and over (percentage values)","females","65 years and over",57.46,
"all items","total","all items","2011","Como","sex ratio","total","total",95.17,
"all items","total","all items","2011","Lombardia","sex ratio","total","total",94.41,
"all items","total","all items","2011","Lombardia","resident population (absolute values)","total","65 years and over",2018014,
"all items","total","all items","2011","Lecco","resident population (absolute values)","total","65 years and over",68940,
"all items","total","all items","2011","Liguria","population aged 85 and over (percentage values)","females","85 years and over",70.62,
"all items","total","all items","2011","Imperia","resident population (absolute values)","total","65 years and over",57300,
"all items","total","all items","2011","Savona","resident population (percentage values)","total","85 years and over",4.09,
"all items","total","all items","2011","Genova","sex ratio","total","total",88.69,
"all items","total","all items","2011","Cuneo","resident population (percentage values)","total","85 years and over",3.18,
"all items","total","all items","2011","Imperia","dependency ratio ","total","total",62.27,
"all items","total","all items","2011","Genova","resident population (percentage values)","total","85 years and over",4.28,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (absolute values)","total","65 years and over",27058,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","dependency ratio ","total","total",54.6,
"all items","total","all items","2011","Liguria","population aged 65 and over (percentage values)","females","65 years and over",58.79,
"all items","total","all items","2011","Liguria","resident population (percentage values)","total","until 4 years",3.76,
"all items","total","all items","2011","La Spezia","resident population (percentage values)","total","65 years and over",26.94,
"all items","total","all items","2011","Imperia","sex ratio","total","total",90.83,
"all items","total","all items","2011","Cuneo","resident population (absolute values)","total","until 5 years",32783,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","sex ratio","total","total",95.25,
"all items","total","all items","2011","Lecco","population aged 75 and over (percentage values)","females","75 years and over",63.54,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","elder for child","total","total",3.67,
"all items","total","all items","2011","Como","ageing index ","total","total",143.58,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","sex ratio","total","total",95.25,
"all items","total","all items","2011","Asti","resident population (percentage values)","total","85 years and over",3.8,
"all items","total","all items","2011","La Spezia","ageing index ","total","total",235.93,
"all items","total","all items","2011","Alessandria","resident population (percentage values)","total","85 years and over",4.12,
"all items","total","all items","2011","Lombardia","resident population (absolute values)","total","total",9704151,
"all items","total","all items","2011","Varese","elder for child","total","total",3.71,
"all items","total","all items","2011","Como","population aged 65 and over (percentage values)","females","65 years and over",57.82,
"all items","total","all items","2011","Cuneo","resident population (percentage values)","total","65 years and over",22.43,
"all items","total","all items","2011","Savona","resident population (absolute values)","total","65 years and over",78647,
"all items","total","all items","2011","Lombardia","resident population (percentage values)","total","65 years and over",20.8,
"all items","total","all items","2011","Como","elder for child","total","total",3.52,
"all items","total","all items","2011","Genova","population aged 75 and over (percentage values)","females","75 years and over",63.22,
"all items","total","all items","2011","Genova","ageing index ","total","total",239.53,
"all items","total","all items","2011","Lecco","resident population (absolute values)","total","total",336310,
"all items","total","all items","2011","Genova","resident population (absolute values)","females","total",453567,
"all items","total","all items","2011","Lombardia","population aged 75 and over (percentage values)","females","75 years and over",63.44,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (absolute values)","total","75 years and over",13322,
"all items","total","all items","2011","Como","resident population (absolute values)","total","until 5 years",33998,
"all items","total","all items","2011","Genova","resident population (percentage values)","total","65 years and over",27.57,
"all items","total","all items","2011","Como","resident population (absolute values)","total","total",586735,
"all items","total","all items","2011","Varese","resident population (percentage values)","total","until 5 years",5.74,
"all items","total","all items","2011","Lombardia","ageing index ","total","total",145.88,
"all items","total","all items","2011","Savona","dependency ratio ","total","total",65.18,
"all items","total","all items","2011","Savona","resident population (percentage values)","total","75 years and over",14.4,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (percentage values)","total","65 years and over",21.34,
"all items","total","all items","2011","La Spezia","elder for child","total","total",5.93,
"all items","total","all items","2011","Lombardia","resident population (absolute values)","females","total",4991648,
"all items","total","all items","2011","Alessandria","population aged 65 and over (percentage values)","females","65 years and over",58.09,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","population aged 75 and over (percentage values)","females","75 years and over",63.24,
"all items","total","all items","2011","Lecco","ageing index ","total","total",141.31,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","ageing index ","total","total",152.64,
"all items","total","all items","2011","Genova","population aged 85 and over (percentage values)","females","85 years and over",70.7,
"all items","total","all items","2011","Liguria","resident population (percentage values)","total","75 years and over",14.37,
"all items","total","all items","2011","Alessandria","population aged 75 and over (percentage values)","females","75 years and over",62.55,
"all items","total","all items","2011","Varese","resident population (absolute values)","total","total",871886,
"all items","total","all items","2011","Asti","resident population (absolute values)","total","total",217573,
"all items","total","all items","2011","Alessandria","resident population (absolute values)","females","until 4 years",7903,
"all items","total","all items","2011","Lecco","resident population (absolute values)","females","total",171409,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (percentage values)","total","until 5 years",5.81,
"all items","total","all items","2011","Varese","population aged 85 and over (percentage values)","females","85 years and over",72.61,
"all items","total","all items","2011","Imperia","resident population (percentage values)","total","75 years and over",13.78,
"all items","total","all items","2011","Alessandria","dependency ratio ","total","total",60.97,
